Sample name,Name,Latitude,Longitud,Median C14,Start_Range_C14,End_Range_C14,Site name
BED030,BED030.A0102_8127_PE_SE,51.51,-0.08,408,370,445,"New Churchyard, London"
BED028,BED028.A0102_8103_PE_SE,51.51,-0.08,408,370,445,"New Churchyard, London"
BED034,BED034.A0102_8198_PE_SE,51.51,-0.08,408,370,445,"New Churchyard, London"
BED024,BED024.A0102_8052_PE_SE,51.51,-0.08,408,370,445,"New Churchyard, London"
BRA001,BRA001.A0101_PE_SE,52.41,12.53,372,357,387,"Domlinden 12, Brandenburg an der Havel"
LAI009,LAI009.A0101_RT88_PE_SE,55.39,49.54,655,605,705,"Laishevo III, Laishevo"
MAN008,MAN008.B0101_SE,48.7,11.47,669,615,722,"St. Leonhardi, Manching-Pichl"
NMS002,NMS002.A0101.combined,52.2,0.11,500,469,530,"Augustinian Friary (New Museums site), Cambridge"
STA001,STA001.A0101_PE_SE,47.99,11.33,527,482,572,"Possenhofener Str. 3, Starnberg"
STN014,STN014.A0101_SE,46.95,8.36,445,370,520,"Nägeligasse, Stans"
STN020,STN020.A0101_SE,46.95,8.36,445,370,520,"Nägeligasse, Stans"
STN021,STN021.A0101_SE,46.95,8.36,445,370,520,"Nägeligasse, Stans"
STN019,STN019.A0101_SE,46.95,8.36,445,370,520,"Nägeligasse, Stans"
STN007,STN007.A0101_SE,46.95,8.36,445,370,520,"Nägeligasse, Stans"
STN002,STN002.A0101_SE,46.95,8.36,445,370,520,"Nägeligasse, Stans"
STN008,STN008.A0101_SE,46.95,8.36,445,370,520,"Nägeligasse, Stans"
London_BD,London_EastSmithfield_8124_8291_11972,51.5,-0.06,656,655,657,"East Smithfield cementery, London"
ELW098,JK1548_UDG_PE_SE,48.96,10.13,449,378,520,"Ellwangen"
OBS137,OBS137,43.3,5.36,284,283,285,"l'Observance, Marseille"
Barcelona_3031,Barcelona,41.38,2.17,645,585,705,"Basílica dels Sants Màrtirs Just i Pastor, Plaça de Sant Just, Barcelona"
OBS116,OBS116,43.3,5.36,284,283,285,"l'Observance, Marseille"
OBS107,OBS107,43.3,5.36,284,283,285,"l'Observance, Marseille"
OBS110,OBS110,43.3,5.36,284,283,285,"l'Observance, Marseille"
OBS124,OBS124,43.3,5.36,284,283,285,"l'Observance, Marseille"
