Sample Name,Name,Latitude,Longitud,Median C14,Start_Range_C14,End_Range_C14
MUR009,MUR009.A0201a,55.73,51.64,6425,6500,6350
MUR019,MUR019.A0102a,55.73,51.64,6405,6490,6320
IV3002,IV3002.A0102a,45.68,42.92,5330,5580,5080
OBP001,MX164.UDGa,47.26,7.65,5195,5320,5070
IKI003,iki1c12_trim2b_min30b,41.61,35.87,5170,5290,5050
SUA004,MX51.UDGa,39.41,9.11,4155,4300,4010
MK3001,MK3001.B0102a,43.92,43.53,2930,2990,2870
ETR001,GA24s,43.01,11.94,1715,1810,1620
Ragna,ragnaU,63.42,10.39,877,956,798
Tepos_14,Tepos_14,17.49,-97.46,409.5,501,318
Tepos_35,Tepos_35,17.49,-97.46,406,496,316
